Deployment Report
Timestamp,20260115_155648
Product,GNR
Source Type,BASELINE
Deployment Type,DebugFramework
Target,Q:\Gaespino\scripts\s2t\Deploys\GNR\prod\DebugFramework
Total Files Scanned,115
Product Filtered,114
Deployed Successfully,1
Errors,0

DEPLOYED FILES
Source File,Target File,Renamed,Old Name,New Name,Status,Similarity,Import Replacements,Filename Import Updates,Import Change Lines,Rename Change Lines
SystemDebug.py,GNRSystemDebug.py,Yes,SystemDebug.py,GNRSystemDebug.py,minor_changes,87.2%,users.gaespino.dev.DebugFramework. → users.gaespino.DebugFramework.; users.gaespino.dev.S2T.CoreManipulation → users.THR.PythonScripts.thr.S2T.GNRCoreManipulation; users.gaespino.dev.S2T.dpmChecks → users.THR.PythonScripts.thr.S2T.dpmChecksGNR (+2 more),-,"51, 127, 128, 129, 132",-

DETAILED LINE CHANGES
File,Line,Change Type,Old Content,New Content
Storage_Handler\DBUserInterface.py,Not selected,identical,No,-
PPV\parsers\OverviewAnalyzer.py,Not selected,identical,No,-
Storage_Handler\MongoDBCredentials.py,Not selected,identical,No,-
ExecutionHandler\utils\DebugLogger.py,Not selected,identical,No,-
PPV\gui\PPVFileHandler.py,Not selected,identical,No,-
UI\AutomationPanel.py,Not selected,identical,No,-
Automation_Flow\TestFlow.py,Not selected,new,No,-
HardwareMocks.py,Not selected,new,No,-
TTL\TTL_DragonMesh\config.ini,Not selected,identical,No,-
ExecutionHandler\utils\EmergencyCleanup.py,Not selected,new,No,-
ExecutionHandler\Configurations.py,Not selected,identical,No,-
MaskEditor.py,Not selected,identical,Yes,GNRMaskEditor.py
PPV\Decoder\GNR\GNRPortIDs.json,Not selected,identical,No,-
S2TTestFramework.py,Not selected,new,No,-
Storage_Handler\DBHandler.py,Not selected,identical,No,-
Automation_Flow\old_interface.py,Not selected,new,No,-
PPV\gui\PPVDataChecks.py,Not selected,identical,No,-
PPV\utils\aqua_report.py,Not selected,new,No,-
UI\TestRunControlPanel.py,Not selected,new,No,-
Misc.py,Not selected,new,No,-
Automation_Flow\TestFlow1.py,Not selected,new,No,-
UI\ProcessHandler\ProcessExecutor.py,Not selected,identical,No,-
PPV\utils\ExcelReportBuilder.py,Not selected,identical,No,-
